"","True Model Number","True Model Variables","Sample Size","Repetition","True Model Min GCV","True Model Bandwidth","Best Model Number","Best Model Variables","Best Model GCV","Best Model Bandwidth","Best Model = True Model"
"1",8,NA,100,1,0.449937939546894,29,8,NA,0.449937939546894,29,1
"2",8,NA,100,2,0.319719157659447,29,8,NA,0.319719157659447,29,1
"3",8,NA,100,3,0.391218732291971,29,8,NA,0.391218732291971,29,1
"4",8,NA,200,1,0.308949022533273,59,8,NA,0.308949022533273,59,1
"5",8,NA,200,2,0.328502763817516,26,8,NA,0.328502763817516,26,1
"6",8,NA,200,3,0.313176249947924,59,8,NA,0.313176249947924,59,1
"7",8,NA,400,1,0.296739262460465,53,8,NA,0.296739262460465,53,1
"8",8,NA,400,2,0.299158123405367,79,8,NA,0.299158123405367,79,1
"9",8,NA,400,3,0.288368029490825,53,8,NA,0.288368029490825,53,1
"10",8,NA,600,1,0.284954357565372,79,8,NA,0.284954357565372,79,1
"11",8,NA,600,2,0.288118562328961,53,8,NA,0.288118562328961,53,1
"12",8,NA,600,3,0.266930493996643,79,8,NA,0.266930493996643,79,1
