"","True Model Number","True Model Variables","Model Error","Sample Size","Repetition","True Model Min GCV","True Model Bandwidth","Best Model Number","Best Model Variables","Best Model GCV","Best Model Bandwidth","Best Model = True Model"
"1","1","stationary, stationary, non-stationary","2.45373056523968","100","1","5.09571060527345","99","5",NA,"4.9384878656688","44","FALSE"
"2","1","stationary, stationary, non-stationary","2.48493209532695","100","2","6.59627089579021","99","5",NA,"6.51641398167105","99","FALSE"
"3","1","stationary, non-stationary, stationary","2.48549072227441","100","3","7.74314838052888","99","3",NA,"7.5951386338934","99","FALSE"
"4","1","stationary, stationary, non-stationary","2.41678704960505","100","4","5.64966364379565","99","5",NA,"5.53647597891316","99","FALSE"
"5","1","non-stationary, stationary, stationary","2.44660581186414","100","5","6.27218154241343","99","2",NA,"5.98330533942015","29","FALSE"
"6","1","stationary, non-stationary, stationary","2.52195157526759","300","1","6.33339374582777","299","3",NA,"6.25454663369317","299","FALSE"
"7","1","non-stationary, non-stationary, non-stationary","2.4871513000379","300","2","6.60176577460013","299","8",NA,"6.52478207363538","299","FALSE"
"8","1","stationary, non-stationary, stationary","2.50562980086077","300","3","6.2778105946771","299","3",NA,"6.24952695231023","299","FALSE"
"9","1","stationary, stationary, non-stationary","2.48826834491687","300","4","6.35139080522498","299","5",NA,"6.32805046689255","299","FALSE"
"10","1","stationary, non-stationary, stationary","2.5138504716071","300","5","5.15919514757333","299","3",NA,"5.12087973474071","299","FALSE"
"11","1","non-stationary, stationary, stationary","2.51833416005364","500","1","6.18869097970187","499","2",NA,"6.14688414049921","499","FALSE"
"12","1","non-stationary, stationary, non-stationary","2.50733632705035","500","2","6.54300094402804","499","6",NA,"6.480710239292","333","FALSE"
"13","1","stationary, stationary, non-stationary","2.49451643969538","500","3","6.2502697193908","499","5",NA,"6.21241725346287","499","FALSE"
"14","1","stationary, stationary, non-stationary","2.46024018878723","500","4","5.7574420027295","499","5",NA,"5.72691397403379","333","FALSE"
"15","1","stationary, stationary, non-stationary","2.51851641680859","500","5","6.64561224385842","499","5",NA,"6.62684010414647","499","FALSE"
"16","1","stationary, non-stationary, stationary","2.49794500775496","1000","1","6.26781826974562","999","3",NA,"6.25082532425227","999","FALSE"
"17","1","non-stationary, stationary, stationary","2.50068921315134","1000","2","6.84752436341585","999","2",NA,"6.83443343911907","999","FALSE"
"18","1","stationary, non-stationary, stationary","2.49448856525193","1000","3","5.47009544082258","999","3",NA,"5.44550110550993","666","FALSE"
"19","1","stationary, non-stationary, stationary","2.48044835268846","1000","4","5.75681305263788","999","3",NA,"5.7470424184627","999","FALSE"
"20","1","stationary, non-stationary, stationary","2.48409085352276","1000","5","5.79181625067554","999","3",NA,"5.76001112109218","296","FALSE"
"21","2","stationary, stationary, non-stationary","2.53320651749265","100","1","6.37661685169123","66","5",NA,"6.16621693499745","66","FALSE"
