"","True Model Number","Model Error","Sample Size","Repetition","True Model Min GCV","True Model Bandwidth","Best Model Number","Best Model GCV","Best Model Bandwidth","Best Model = True Model","Second Best Model","Second Best Model GCV","Second Best Model Bandwidth"
"1",4,2.27,300,1,5.59432198124688,133,4,5.59432198124688,133,1,2,5.67700748189542,89
"2",4,2.28,300,2,4.91147001543844,89,4,4.91147001543844,89,1,2,4.98601825098014,89
"3",4,2.28,300,3,5.66738497737305,133,2,5.63462259538396,89,0,8,5.67052102507706,133
"4",4,2.17,300,4,5.48222939218398,89,4,5.48222939218398,89,1,8,5.56006050803056,89
"5",4,2.26,300,5,5.59745352289908,133,4,5.59745352289908,133,1,8,5.67633933686057,199
"6",4,2.28,500,1,5.10247030614429,148,4,5.10247030614429,148,1,8,5.12281600304566,99
"7",4,2.28,500,2,5.1456704801916,99,4,5.1456704801916,99,1,8,5.18534068989378,99
"8",4,2.25,500,3,4.63166233742153,44,4,4.63166233742153,44,1,8,4.72648686767633,148
"9",4,2.12,500,4,4.93048172912088,148,4,4.93048172912088,148,1,3,4.9657387403875,66
"10",4,2.26,500,5,5.84998976858081,148,2,5.84478788464106,99,0,4,5.86471696960014,222
"11",4,2.23,700,1,5.55236503696393,207,8,5.55087260656033,207,0,4,5.55992364993294,138
"12",4,2.19,700,2,4.63146976601537,138,4,4.63146976601537,138,1,8,4.69123351336385,138
"13",4,2.24,700,3,5.20512499393866,207,8,5.1942967241613,207,0,4,5.21794399691861,138
"14",4,2.24,700,4,5.44562752644388,207,4,5.44562752644388,207,1,8,5.52773694824382,311
"15",4,2.21,700,5,4.61615204669844,207,4,4.61615204669844,207,1,8,4.69795777208038,138
