"","True Model Number","Model Error","Sample Size","Repetition","True Model Min GCV","True Model Bandwidth","Best Model Number","Best Model GCV","Best Model Bandwidth","Best Model = True Model","Second Best Model","Second Best Model GCV","Second Best Model Bandwidth"
"1",5,2.24,300,1,4.9069311067683,133,5,4.9069311067683,133,1,7,4.97504302124114,133
"2",5,2.27,300,2,4.78547684937571,133,5,4.78547684937571,133,1,8,4.87807461836575,199
"3",5,2.31,300,3,5.60279076961367,133,5,5.60279076961367,133,1,7,5.71419445725336,133
"4",5,2.24,300,4,4.84371011804826,133,5,4.84371011804826,133,1,8,4.91850034618987,133
"5",5,2.27,300,5,5.58599970599043,199,5,5.58599970599043,199,1,2,5.69844672244212,199
"6",5,2.21,500,1,4.8011106559461,222,5,4.8011106559461,222,1,2,4.82584448435883,66
"7",5,2.28,500,2,5.0537445857543,148,5,5.0537445857543,148,1,7,5.07213665938024,148
"8",5,2.24,500,3,5.0106649898527,148,5,5.0106649898527,148,1,6,5.09133861691439,222
"9",5,2.27,500,4,5.46990361396946,148,5,5.46990361396946,148,1,6,5.52981340382921,99
"10",5,2.23,500,5,5.40487627887862,222,6,5.38870090658398,222,0,5,5.40487627887862,222
"11",5,2.23,700,1,5.17778244132387,138,5,5.17778244132387,138,1,6,5.24263473751789,138
"12",5,2.24,700,2,5.1591739076729,311,5,5.1591739076729,311,1,7,5.20805856620038,311
"13",5,2.21,700,3,4.29932347375368,207,5,4.29932347375368,207,1,8,4.3320699340871,311
"14",5,2.25,700,4,4.98812988214422,311,5,4.98812988214422,311,1,7,5.026096235121,311
"15",5,2.25,700,5,5.03467125495539,207,5,5.03467125495539,207,1,6,5.11555487762886,207
"16",6,2.2,300,1,4.22882939136807,89,2,4.1786486614686,89,0,6,4.22882939136807,89
"17",6,2.27,300,2,4.98985541899028,133,2,4.93180044654094,133,0,6,5.05068037098682,89
"18",6,2.24,300,3,5.7656438411218,89,8,5.75162964877323,89,0,6,5.79313872271802,59
"19",6,2.31,300,4,6.04713055511755,133,8,5.93605474503307,133,0,2,6.08152487211584,133
"20",6,2.25,300,5,5.39491699649044,89,6,5.39491699649044,89,1,2,5.42590599739682,39
"21",6,2.24,500,1,5.12298571792335,148,6,5.12298571792335,148,1,8,5.13712937654384,148
"22",6,2.29,500,2,5.33962055661199,148,6,5.33962055661199,148,1,8,5.40078551333595,222
"23",6,2.31,500,3,5.17429710556464,148,6,5.17429710556464,148,1,8,5.24709678594164,222
"24",6,2.27,500,4,5.89137860731666,148,8,5.84553655162747,148,0,7,5.89138824016188,148
"25",6,2.27,500,5,5.46900370544296,99,8,5.4016103101838,99,0,6,5.50018441052415,148
"26",6,2.19,700,1,5.11534680933102,138,8,5.07192401647619,138,0,4,5.11845440202653,138
"27",6,2.23,700,2,5.11343257977563,207,2,5.08220076650071,138,0,6,5.11476155119145,138
"28",6,2.24,700,3,4.9822835340026,92,6,4.9822835340026,92,1,2,5.02154135254425,138
"29",6,2.24,700,4,4.93972695483318,207,8,4.93838414774629,207,0,6,4.9635707107438,138
"30",6,2.28,700,5,5.21071859462501,138,6,5.21071859462501,138,1,8,5.31339696088771,138
"31",7,1.99,300,1,3.73892804374309,199,7,3.73892804374309,199,1,8,3.79824743149692,299
"32",7,2.01,300,2,3.82010572661963,89,7,3.82010572661963,89,1,8,3.84841317460363,199
"33",7,2.01,300,3,4.08534218868713,199,7,4.08534218868713,199,1,8,4.17652457115138,299
"34",7,1.95,300,4,3.72033821170113,199,7,3.72033821170113,199,1,8,3.76154535064542,299
"35",7,1.98,300,5,4.11737968939221,133,8,4.0852276025089,133,0,7,4.13324390797633,199
"36",7,1.97,500,1,3.9993906861595,222,7,3.9993906861595,222,1,8,4.00947976865912,222
"37",7,2,500,2,4.06314949492151,222,6,4.00163499738575,44,0,5,4.04707756930807,66
"38",7,2.02,500,3,4.73281242931499,222,7,4.73281242931499,222,1,8,4.77845423501064,222
"39",7,1.98,500,4,4.2483024890765,222,7,4.2483024890765,222,1,8,4.27637205572217,333
"40",7,1.99,500,5,4.46206391006755,148,7,4.46206391006755,148,1,8,4.50037871528282,222
"41",7,2,700,1,3.76110686221507,138,7,3.76110686221507,138,1,8,3.79356704258041,207
"42",7,2.01,700,2,4.05941024741326,311,8,4.04462043882734,466,0,7,4.06554212827782,466
"43",7,2.04,700,3,4.53510982944891,207,8,4.52856327111565,207,0,7,4.54747779189665,138
"44",7,1.99,700,4,4.20832218965308,311,7,4.20832218965308,311,1,8,4.22088070625831,207
"45",7,1.99,700,5,4.09026732984756,311,7,4.09026732984756,311,1,8,4.11567188977913,466
"46",8,1.98,300,1,4.00871986698824,133,8,4.00871986698824,133,1,6,4.02546202483791,89
"47",8,1.92,300,2,3.95053823800004,89,8,3.95053823800004,89,1,4,4.07793348671661,89
"48",8,2.01,300,3,5.00813098683456,89,2,4.85623185765461,89,0,6,4.96800513338426,133
"49",8,2.01,300,4,4.39644121168685,133,2,4.24737013690197,59,0,6,4.36118369853138,133
"50",8,2.04,300,5,4.40764932559517,89,8,4.40764932559517,89,1,2,4.53299547401001,89
"51",8,1.97,500,1,4.37222282386316,148,8,4.37222282386316,148,1,6,4.46313046611461,148
"52",8,1.96,500,2,3.92624905788821,148,6,3.91578316518517,148,0,2,3.93336821376744,99
"53",8,1.94,500,3,4.03378248342502,148,8,4.03378248342502,148,1,6,4.14285738448829,99
"54",8,1.95,500,4,4.15894454189767,148,8,4.15894454189767,148,1,4,4.31525915514679,99
"55",8,1.95,500,5,4.18817020301421,148,8,4.18817020301421,148,1,4,4.38114942993473,148
"56",8,1.96,700,1,4.15788071386408,207,8,4.15788071386408,207,1,4,4.23384755780307,207
"57",8,1.98,700,2,4.25368215567142,207,8,4.25368215567142,207,1,4,4.31620877990774,92
"58",8,2.01,700,3,4.42008934901912,207,8,4.42008934901912,207,1,6,4.51715105151238,138
"59",8,1.99,700,4,3.90538375551901,138,8,3.90538375551901,138,1,6,3.9990455299265,92
"60",8,2.05,700,5,4.55541527698046,207,8,4.55541527698046,207,1,2,4.58046077080144,92
